GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jobhub-pb,br.ufpb.dsc.jobhub.config,AuditAuthenticationSuccessHandler,33,6,2,0,4,3,4,1,3,1
jobhub-pb,br.ufpb.dsc.jobhub.config,SecurityConfig,0,185,0,0,0,31,0,7,0,7
jobhub-pb,br.ufpb.dsc.jobhub.config,AuditLogoutSuccessHandler,16,6,2,0,4,3,2,1,1,1
jobhub-pb,br.ufpb.dsc.jobhub.config,AdminUserInitializer,0,21,0,0,0,7,0,2,0,2
jobhub-pb,br.ufpb.dsc.jobhub.config,AuditOAuth2SuccessHandler,33,6,2,0,4,3,4,1,3,1
jobhub-pb,br.ufpb.dsc.jobhub.config,RadarOAuth2UserService,79,14,10,0,14,5,7,1,2,1
jobhub-pb,br.ufpb.dsc.jobhub.config,AuditAuthenticationFailureHandler,16,6,0,0,3,3,1,1,1,1
jobhub-pb,br.ufpb.dsc.jobhub.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
jobhub-pb,br.ufpb.dsc.jobhub.dto,RegistrationForm,0,23,0,0,0,2,0,2,0,2
jobhub-pb,br.ufpb.dsc.jobhub.dto,JobPostForm,0,51,0,0,0,2,0,2,0,2
jobhub-pb,br.ufpb.dsc.jobhub.dto,DashboardStats,0,39,0,0,0,1,0,1,0,1
jobhub-pb,br.ufpb.dsc.jobhub.dto,GoogleUserProvision,0,9,0,0,0,1,0,1,0,1
jobhub-pb,br.ufpb.dsc.jobhub.dto,CandidateApplicationForm,0,23,0,0,0,2,0,2,0,2
jobhub-pb,br.ufpb.dsc.jobhub.service,AuditLogService,0,183,0,18,0,32,0,20,0,11
jobhub-pb,br.ufpb.dsc.jobhub.service,JobService,0,295,1,19,0,60,1,33,0,24
jobhub-pb,br.ufpb.dsc.jobhub.service,UserService,6,303,7,27,0,66,7,26,0,16
jobhub-pb,br.ufpb.dsc.jobhub.service,DashboardService,0,68,0,0,0,19,0,2,0,2
jobhub-pb,br.ufpb.dsc.jobhub.service,BillingService.CheckoutResult,0,9,0,0,0,1,0,1,0,1
jobhub-pb,br.ufpb.dsc.jobhub.service,BillingService,0,228,2,10,0,51,2,14,0,10
jobhub-pb,br.ufpb.dsc.jobhub.controller,PublicController,0,170,1,7,0,39,1,13,0,10
jobhub-pb,br.ufpb.dsc.jobhub.controller,AdminController,6,423,9,19,0,88,9,35,0,30
jobhub-pb,br.ufpb.dsc.jobhub.controller,AuthController,0,106,3,11,0,26,3,11,0,7
jobhub-pb,br.ufpb.dsc.jobhub.controller,PingController,0,12,0,0,0,2,0,2,0,2
jobhub-pb,br.ufpb.dsc.jobhub.domain,JobLocationType,0,35,0,0,0,8,0,3,0,3
jobhub-pb,br.ufpb.dsc.jobhub.domain,AuthProvider,0,15,0,0,0,3,0,1,0,1
jobhub-pb,br.ufpb.dsc.jobhub.domain,ContractType,0,49,0,0,0,10,0,3,0,3
jobhub-pb,br.ufpb.dsc.jobhub.domain,CandidateApplication,9,52,0,0,2,20,1,11,1,11
jobhub-pb,br.ufpb.dsc.jobhub.domain,UserRole,0,28,0,0,0,7,0,3,0,3
jobhub-pb,br.ufpb.dsc.jobhub.domain,JobStatus,0,35,0,0,0,8,0,3,0,3
jobhub-pb,br.ufpb.dsc.jobhub.domain,Seniority,0,49,0,0,0,10,0,3,0,3
jobhub-pb,br.ufpb.dsc.jobhub.domain,JobPosting,12,132,0,0,4,41,4,21,4,21
jobhub-pb,br.ufpb.dsc.jobhub.domain,AppUser,3,95,2,2,1,33,3,15,1,15
jobhub-pb,br.ufpb.dsc.jobhub.domain,AuditLog,6,58,0,0,2,22,2,11,2,11
jobhub-pb,br.ufpb.dsc.jobhub.domain,SubscriptionStatus,0,27,0,0,0,5,0,1,0,1
jobhub-pb,br.ufpb.dsc.jobhub.domain,Subscription,19,72,2,4,8,22,6,13,4,12
jobhub-pb,br.ufpb.dsc.jobhub,JobhubApplication,5,3,0,0,2,1,1,1,1,1
